Model_NM	QcParam_NO	Material_CD	Parameter_MAX	Parameter_MIN	Parameter_VAL	QcLine_MAX	QcLine_MIN	AimLine_VAL	AimRate_VAL	DS_FG	Del_FG	UpdUser_CD	LastUpd_DT	Equipment_NO	InnerUpperLimit	InnerLowerLimit	ParamGetUpperCond	ParamGetLowerCond	ResinGroup_CD
AI	1284	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1294	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1295	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1304	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1305	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1311	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1312	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1321	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1322	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1330	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1331	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1708	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
